Remark,Title=CSV File
Remark,Date=2026-2-17-15:19:44.252
Remark,Version=Ver3.1
Remark,PLC Name=LoadWizardPLC
Remark,CPU Type=XGK-CPUE
Remark,EIP GUID=cfb4d2ae-9401-46b2-a9bd-c008dc1f8b87
Remark,EIP OnlineWrite=0
Type,Scope,Variable,Address,DataType,Property,Comment
Tag,VariableComment,"_0000_ADDR_LNM",L03761,"WORD",,"FEnet: LNM information(above Ver 6.0)"
Tag,VariableComment,"_0000_CH00_NFR",L038080,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH01_NFR",L038081,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH02_NFR",L038082,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH03_NFR",L038083,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH04_NFR",L038084,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH05_NFR",L038085,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH06_NFR",L038086,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH07_NFR",L038087,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH08_NFR",L038088,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH09_NFR",L038089,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH10_NFR",L03808A,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH11_NFR",L03808B,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH12_NFR",L03808C,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH13_NFR",L03808D,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH14_NFR",L03808E,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH15_NFR",L03808F,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH16_NFR",L038090,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH17_NFR",L038091,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH18_NFR",L038092,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH19_NFR",L038093,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH20_NFR",L038094,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH21_NFR",L038095,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH22_NFR",L038096,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH23_NFR",L038097,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH24_NFR",L038098,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH25_NFR",L038099,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH26_NFR",L03809A,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH27_NFR",L03809B,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH28_NFR",L03809C,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH29_NFR",L03809D,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH30_NFR",L03809E,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_CH31_NFR",L03809F,"BIT",,"FEnet: New Frame Ready (Ver 8.6 or higher)"
Tag,VariableComment,"_0000_LINE_TOPOLOGY",L037594,"BIT",,"RAPIEnet: Line topology state(above Ver 6.0)"
Tag,VariableComment,"_0000_LINKUP_INFO",L037558,"BIT",,"FEnet: Link up/down information"
Tag,VariableComment,"_0000_RING_TOPOLOGY",L037595,"BIT",,"FEnet: Ring topology state(above Ver 6.0)"
Tag,VariableComment,"_0000_SC_INFO",L03760,"WORD",,"FEnet: Server connection state"
Tag,VariableComment,"_0000_STAND_ALONE",L037590,"BIT",,"FEnet: Stand alone state(above Ver 6.0)"
Tag,VariableComment,"",P00010,"BIT",,"IN: Полка 1 разблокирована (геркон)"
Tag,VariableComment,"",P00011,"BIT",,"IN: Полка 2 разблокирована (геркон)"
Tag,VariableComment,"",P00012,"BIT",,"IN: Полка 3 разблокирована (геркон)"
Tag,VariableComment,"",P00013,"BIT",,"IN: Полка 4 разблокирована (геркон)"
Tag,VariableComment,"",P00014,"BIT",,"IN: Объект в зоне предупреждения лидара"
Tag,VariableComment,"",P00015,"BIT",,"IN: Датчик давления воздуха"
Tag,VariableComment,"",P00016,"BIT",,"IN: Кнопка $QЗапуск задания$Q"
Tag,VariableComment,"",P00017,"BIT",,"IN: Кнопка $QЗапуск цикла робота$Q"
Tag,VariableComment,"",P00018,"BIT",,"IN: Кнопка $QСброс ошибок$Q"
Tag,VariableComment,"",P00020,"BIT",,"OUT: Открыть полку 1"
Tag,VariableComment,"",P00021,"BIT",,"OUT: Открыть полку 2"
Tag,VariableComment,"",P00022,"BIT",,"OUT: Открыть полку 3"
Tag,VariableComment,"",P00023,"BIT",,"OUT: Открыть полку 4"
Tag,VariableComment,"",P00024,"BIT",,"OUT: Сброс системы безопасности лидара"
Tag,VariableComment,"",P00026,"BIT",,"OUT: Индикатор $QЗадание запущено$Q (жёлтый)"
Tag,VariableComment,"",P00027,"BIT",,"OUT: Индикатор $QЦикл робота запущен$Q (зелёный)"
